Country Name,Year,GDP,GDP Per Capita,Health Expenditure
Zimbabwe,2000,6689957600.0,565.2843897036133,448555403.794178
Zimbabwe,2001,6777384700.0,569.003208636604,454417309.12868327
Zimbabwe,2002,6342116400.0,529.1868828143748,425232976.4708342
Zimbabwe,2003,5727591800.0,474.30220105818,384029676.4537376
Zimbabwe,2004,5805598400.0,477.3994910401639,389259946.0688411
Zimbabwe,2005,5755215200.0,470.7837614387792,385881799.6033922
Zimbabwe,2006,5443896500.0,441.49879688479535,365008171.7664716
Zimbabwe,2007,5291950100.0,425.0368416926842,354820307.6749157
Zimbabwe,2008,4415702800.0,351.83910054439133,296068745.26216465
Zimbabwe,2009,9665793300.0,762.297960300667,648082405.8843901
Zimbabwe,2010,12041655200.0,937.840339987372,1261464370.7455006
Zimbabwe,2011,14101920300.0,1082.615773252821,1139841835.6481876
Zimbabwe,2012,17114849900.0,1290.1939574670243,1183996539.5869713
Zimbabwe,2013,19091020000.0,1408.3678103123607,1357257573.428926
Zimbabwe,2014,19495519600.0,1407.0342910991558,1585428822.053053
Zimbabwe,2015,19963120600.0,1410.3291734890802,1487217986.431291
Zimbabwe,2016,20548678100.0,1421.7877914056774,1534256231.4574804
Zimbabwe,2017,17584890936.6523,1192.1070119886172,1119029481.9111652
Zimbabwe,2018,34156069918.0609,2269.1770123233214,1595231326.351483
Zimbabwe,2019,21832234925.5021,1421.8685964175772,799008597.3160297
Zimbabwe,2020,21509698406.1116,1372.6966743331734,736832240.7016745
Zimbabwe,2021,28371238665.5116,1773.920410880779,1902265033.152012
